ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem,matematica,portugues,ida_next,ian_next,defasagem_next,delta_ida_next,delta_ian_next,delta_defasagem_next,target_risco,score_risco
RA-1017,ALUNO-1017,2021,3.0,J,,,,Rede Decisão,Ametista,7.844,10.0,5.8,7.2,8.8,7.5,7.9,9.2,1.0,,,6.888888888888888,10.0,,1.0888888888888886,0.0,,0,0.1335289548065898
RA-1017,ALUNO-1017,2022,4.0,L,,,2018.0,Rede Decisão,Ametista,7.95721614036921,10.0,6.888888888888888,9.05864681295716,7.91667,5.625,7.96875,8.083335,-1.0,6.833333333333333,5.333333333333333,7.7,5.0,-1.0,0.8111111111111118,-5.0,,0,0.3022352281258637
RA-1017,Aluno-1017,2023,FASE 1,1A,,Masculino,2023.0,Pública,Agata,6.505333333,5.0,7.7,8.0,0.0,5.02,7.5,8.116666667,-1.0,7.0,8.3,5.0,10.0,0.0,-2.7,5.0,1.0,1,0.8808491832755819
RA-1018,ALUNO-1018,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.3,10.0,0.0,,,,0,0.0016169292812783377
RA-1018,Aluno-1018,2023,FASE 1,1A,,Masculino,2023.0,Pública,Agata,6.824,10.0,6.3,8.5,0.0,5.02,7.5,8.06,0.0,5.8,6.8,8.25,5.0,-1.0,1.95,-5.0,-1.0,0,0.24179013559292548
RA-1019,ALUNO-1019,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.3,10.0,1.0,,,,0,0.0016169292812783377
RA-1019,Aluno-1019,2023,FASE 1,1A,8.0,Feminino,2023.0,Pública,Ametista,7.177033333,10.0,4.3,9.1,7.5,5.02,6.875,7.836666667,1.0,0.5,8.0,8.75,10.0,0.0,4.45,0.0,-1.0,0,0.10207277144338942
RA-102,ALUNO-102,2021,1.0,J,,,,Escola Pública,Ágata,6.704,5.0,4.8,7.5,6.3,7.5,7.9,7.8,-1.0,,,5.7,10.0,0.0,0.9000000000000004,5.0,1.0,1,0.7386305502987982
RA-1020,ALUNO-1020,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.1,10.0,0.0,,,,0,0.0016169292812783377
RA-1020,Aluno-1020,2023,FASE 1,1A,9.0,Feminino,2023.0,Pública,Ametista,7.612283333,10.0,6.1,9.1,10.0,2.52,7.1875,8.056666667,0.0,4.3,7.8,9.0,10.0,0.0,2.9000000000000004,0.0,0.0,0,0.18214614691698738
RA-1021,ALUNO-1021,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,3.3,10.0,0.0,,,,0,0.0016169292812783377
RA-1021,Aluno-1021,2023,FASE 1,1A,,Masculino,2023.0,Pública,Agata,6.964616667,10.0,3.3,9.2,8.0,3.77,7.1875,7.893333333,0.0,2.5,4.0,8.0,5.0,-1.0,4.7,-5.0,-1.0,0,0.10931381602279899
RA-1022,ALUNO-1022,2021,1.0,F,,,,Escola Pública,Ametista,7.219,10.0,1.9,9.2,9.0,7.5,7.7,7.9,0.0,,,7.583333333333334,5.0,,5.683333333333334,-5.0,,0,0.10663415263282755
RA-1022,ALUNO-1022,2022,1.0,J,,,2020.0,Escola Pública,Ametista,7.52518315942029,5.0,7.583333333333334,9.605072463768115,8.000020000000001,7.5,6.041666666666667,7.166666666666666,-1.0,8.833333333333334,6.333333333333333,4.7,10.0,0.0,-2.8833333333333337,5.0,,1,0.8208721972793509
RA-1022,Aluno-1022,2023,FASE 1,1A,9.0,Masculino,2023.0,Pública,Ametista,7.164616667,10.0,4.7,8.5,8.5,3.77,7.1875,7.893333333,0.0,4.7,4.7,6.5,5.0,-1.0,1.7999999999999998,-5.0,-1.0,0,0.13703162806937635
RA-1023,ALUNO-1023,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.8,5.0,-1.0,,,,0,0.0007538855265298587
RA-1023,ALUNO-1023,2021,0.0,O,,,,Escola Pública,Ametista,7.896,5.0,5.8,10.0,9.0,7.5,7.5,9.2,-1.0,,,5.416666666666666,5.0,,-0.3833333333333337,0.0,,0,0.3804701109532798
RA-1023,ALUNO-1023,2022,0.0,G,,,2021.0,Escola Pública,Ágata,6.832373461538461,5.0,5.416666666666666,7.26602564102564,9.000020000000001,7.5,5.625,7.916665,-1.0,5.833333333333333,5.0,9.1,10.0,0.0,3.6833333333333336,5.0,,1,0.7762252093433378
